id,market,ticker,start,end
4586,How many tweets will @realDonaldTrump post from noon July 4 to noon July 11?,RDTS.071118,2018-07-04T08:00:00Z,2018-07-11T12:10:00Z
3232,Who will be Trump's next Supreme Court nominee?,SCOTUS2.DJT,2017-05-03T20:00:00Z,2018-07-10T12:40:07Z
4571,Will Trump's next Supreme Court nominee be a woman?,WOMAN.SCOTUS2.DJT,2018-06-27T20:00:00Z,2018-07-10T12:36:52Z
4605,Will @realDonaldTrump or @potus tweet 'Barrett' today?,BARR.TRUMPTWEET.070918,2018-07-08T20:00:00Z,2018-07-10T08:43:42Z
4604,Will @realDonaldTrump or @potus tweet 'Hardiman' today?,HARD.TRUMPTWEET.070918,2018-07-08T20:00:00Z,2018-07-10T08:42:42Z
4603,Will @realDonaldTrump or @potus tweet 'Kethledge' today?,KETH.TRUMPTWEET.070918,2018-07-08T20:00:00Z,2018-07-10T08:41:42Z
4581,What will Trump's 538 job approval index be for July 9?,538.080918,2018-07-01T20:00:00Z,2018-07-10T08:40:41Z
4606,Will @realDonaldTrump or @potus tweet 'Kavanaugh' today?,KAVA.TRUMPTWEET.070918,2018-07-08T20:00:00Z,2018-07-09T22:31:19Z
4496,Will June CBP Southwest Border Total Apprehensions be higher than May?,CBP.JUN2018,2018-06-07T20:00:00Z,2018-07-09T22:30:18Z
4444,How many CA congressional primaries will produce winners from the same party?,TOP2.CA.2018,2018-05-24T20:00:00Z,2018-07-07T16:40:30Z
4577,What will Trump's RCP average job approval be at end of day July 6?,TA.070618,2018-06-28T20:00:00Z,2018-07-07T09:00:14Z
4579,How many tweets will @potus post from noon June 29 to noon July 6?,POTUS.070618,2018-06-29T08:00:00Z,2018-07-06T12:13:31Z
4578,How many tweets will @vp post from noon June 29 to noon July 6?,VPTWEET.070618,2018-06-29T08:00:00Z,2018-07-06T12:12:28Z
2925,Will 'Calexit' initiative qualify for the 2018 ballot in California?,CALEXIT.2018,2017-01-29T19:00:00Z,2018-07-05T15:37:44Z
4566,How many tweets will @whitehouse post from noon June 28 to noon July 5?,WH.070518,2018-06-28T08:00:00Z,2018-07-05T12:08:36Z
4563,Will Trump's Rasmussen approval be 45% or higher on July 4?,RAS.070418,2018-06-26T20:00:00Z,2018-07-05T10:22:28Z
4562,What will Democrats' 538 Congressional polling edge be for July 4?,C538.070418,2018-06-26T20:00:00Z,2018-07-05T10:21:28Z
4561,How many tweets will @realDonaldTrump post from noon June 27 to noon July 4?,RDTS.070418,2018-06-27T08:00:00Z,2018-07-04T14:02:47Z
4548,What will Trump's 538 job approval index be for July 2?,538.080218,2018-06-24T20:00:00Z,2018-07-03T08:54:43Z
4558,Who will place 2nd in the 2018 Mexican presidential election?,2ND.MEX.2018,2018-06-25T20:00:00Z,2018-07-02T11:51:16Z
3894,Who will be elected president of Mexico in 2018?,MEX.2018,2017-11-16T19:00:00Z,2018-07-02T11:50:15Z
4400,Will the House pass a contempt resolution for Jeff Sessions by June 30?,SESSIONS.CONTEMPT.063018,2018-05-10T20:00:00Z,2018-07-01T14:43:24Z
4331,Will Nikki Haley be UN Ambassador at end of day June 30?,HALEY.063018,2018-04-19T20:00:00Z,2018-07-01T14:42:24Z
4279,Will Scott Pruitt be EPA Administrator at end of day June 30?,PRUITT.063018,2018-04-04T20:00:00Z,2018-07-01T14:41:23Z
4274,What will Trump's RCP average job approval be at end of day June 30?,TRUMPAPPR.063018,2018-04-02T20:00:00Z,2018-07-01T14:40:19Z
4252,Will John Bolton be National Security Advisor at end of day June 30?,BOLTON.063018,2018-03-25T20:00:00Z,2018-07-01T14:39:17Z
4241,Will Betsy DeVos be Secretary of Education at end of day June 30?,DEVOS.063018,2018-03-20T20:00:00Z,2018-07-01T14:38:16Z
